# python3 factorization_simple.py --num_epochs=25 --batch_size=1024 --learning_rate=1e-3 --embedding_dim=32
Epoch: 0 | Loss: 1.8525 | Train Accuracy: 12.18 | Test Accuracy: 14.48
Epoch: 1 | Loss: 1.0592 | Train Accuracy: 20.22 | Test Accuracy: 23.20
Epoch: 2 | Loss: 0.7821 | Train Accuracy: 25.08 | Test Accuracy: 25.32
Epoch: 3 | Loss: 0.7028 | Train Accuracy: 26.73 | Test Accuracy: 26.15
Epoch: 4 | Loss: 0.6636 | Train Accuracy: 27.61 | Test Accuracy: 26.60
Epoch: 5 | Loss: 0.6350 | Train Accuracy: 28.26 | Test Accuracy: 26.97
Epoch: 6 | Loss: 0.6121 | Train Accuracy: 28.81 | Test Accuracy: 27.21
Epoch: 7 | Loss: 0.5939 | Train Accuracy: 29.27 | Test Accuracy: 27.39
Epoch: 8 | Loss: 0.5794 | Train Accuracy: 29.66 | Test Accuracy: 27.54
Epoch: 9 | Loss: 0.5679 | Train Accuracy: 30.01 | Test Accuracy: 27.69
Epoch: 10 | Loss: 0.5585 | Train Accuracy: 30.29 | Test Accuracy: 27.78
Epoch: 11 | Loss: 0.5508 | Train Accuracy: 30.55 | Test Accuracy: 27.86
Epoch: 12 | Loss: 0.5443 | Train Accuracy: 30.78 | Test Accuracy: 27.91
Epoch: 13 | Loss: 0.5388 | Train Accuracy: 30.97 | Test Accuracy: 27.97
Epoch: 14 | Loss: 0.5341 | Train Accuracy: 31.15 | Test Accuracy: 28.00
Epoch: 15 | Loss: 0.5301 | Train Accuracy: 31.31 | Test Accuracy: 28.06
Epoch: 16 | Loss: 0.5266 | Train Accuracy: 31.43 | Test Accuracy: 28.09
Epoch: 17 | Loss: 0.5236 | Train Accuracy: 31.56 | Test Accuracy: 28.13
Epoch: 18 | Loss: 0.5210 | Train Accuracy: 31.67 | Test Accuracy: 28.15
Epoch: 19 | Loss: 0.5187 | Train Accuracy: 31.77 | Test Accuracy: 28.17
Epoch: 20 | Loss: 0.5166 | Train Accuracy: 31.86 | Test Accuracy: 28.20
Epoch: 21 | Loss: 0.5148 | Train Accuracy: 31.94 | Test Accuracy: 28.22
Epoch: 22 | Loss: 0.5132 | Train Accuracy: 32.01 | Test Accuracy: 28.24
Epoch: 23 | Loss: 0.5118 | Train Accuracy: 32.08 | Test Accuracy: 28.26
Epoch: 24 | Loss: 0.5105 | Train Accuracy: 32.15 | Test Accuracy: 28.28
